award_show_name,award_name,show_title,season_num
Golden Horizon Ceremony,Best Visual Effects,Future Galaxy,1
Granite Star Awards,Best Actress,Future Galaxy,1
Spectrum Talent Awards,Best Costume Design,Past Crimson Hidden,1
Harborlight Entertainment Awards,Best Show,Past Crimson Hidden,1
Aether Artistry Gala,Best Actress,Past Crimson Hidden,2
Eclipse Talent Fest,Best Visual Effects,Past Crimson Hidden,2
Golden Horizon Ceremony,Best Costume Design,Past Crimson Hidden,2
Lunar Crest Celebration,Lifetime Achievement,Past Crimson Hidden,2
Mythos Media Awards,Best Show,Hidden Future,3
Visionary Arts Summit,Best Costume Design,Hidden Future,3
Crimson Crown Gala,Best Costume Design,Hidden Future,3
Aurora Arts Awards,Best Show,Hidden Future,3
Radiant Reel Awards,Best Show,Hidden Future,4
Nebula Night Showcase,Best Visual Effects,Voyager Horizon Whispers,4
Ironquill Arts Night,Best Soundtrack,Voyager Horizon Whispers,4
Solar Flare Showcase,Best Visual Effects,Future Crimson,1
Obsidian Screen Gala,Best Show,Future Crimson,1
Silver Peak Honors,Best Show,Future Crimson,2
Radiant Reel Awards,Best Director,Future Crimson,3
Whisperwind Entertainment Fest,Best Actor,River Future Eclipse,1
Obsidian Screen Gala,Lifetime Achievement,River Future Eclipse,1
Whisperwind Entertainment Fest,Best Visual Effects,River Future Eclipse,1
Starlight Entertainment Gala,Best Actress,River Future Eclipse,1
Timberline Arts Awards,Lifetime Achievement,Golden Fury Dreams,1
Emberlight Arts Showcase,Best Soundtrack,Hidden Nightfall Broken,1
Harborlight Entertainment Awards,Best Cinematography,Wild Eternal,1
Golden Horizon Ceremony,Best Actor,Silent Phantom,1
Eclipse Talent Fest,Best Show,Silent Phantom,1
Mythos Media Awards,Best Soundtrack,Silent Phantom,1
Obsidian Screen Gala,Best Soundtrack,Silent Phantom,1
Nova Prime Showcase,Best Cinematography,Wild Rising River,1
Silver Peak Honors,Lifetime Achievement,Wild Rising River,3
Eclipse Talent Fest,Best Visual Effects,Wild Rising River,3
Mythos Media Awards,Best Costume Design,Past Storm,3
Echo Stage Ceremony,Best Screenplay,Past Horizon Storm,1
Timberline Arts Awards,Best Actor,Past Horizon Storm,1
Eclipse Talent Fest,Best Costume Design,Past Horizon Storm,1
Visionary Arts Summit,Best Cinematography,Midnight Kingdom Eclipse,1
Silver Peak Honors,Best Show,Midnight Kingdom Eclipse,1
Silver Peak Honors,Best Soundtrack,Midnight Kingdom Eclipse,1
Aether Artistry Gala,Best Costume Design,Midnight Kingdom Eclipse,1
Rivermoon Arts Gala,Best Screenplay,Midnight Crimson River,1
Crimson Crown Gala,Best Soundtrack,Midnight Crimson River,1
Obsidian Screen Gala,Best Screenplay,Midnight Crimson River,1
Infinite Frame Awards,Best Show,Midnight Crimson River,1
Obsidian Screen Gala,Best Visual Effects,Storm Future Kingdom,2
Whisperwind Entertainment Fest,Best Screenplay,Storm Future Kingdom,2
Spectrum Talent Awards,Best Screenplay,Eclipse Whispers,1
Radiant Reel Awards,Lifetime Achievement,Eclipse Whispers,1
Golden Horizon Ceremony,Best Cinematography,Eclipse Whispers,1
