genre_name,genre_description
Drama,Serious narrative-focused stories
Comedy,Humorous and light-hearted content
Action,Fast-paced shows with physical stunts and fights
Sci-Fi,Science fiction themes and futuristic concepts
Fantasy, Magical mythical creatures and alternate worlds
Horror,Scary or suspenseful shows
Thriller,Intense suspense-driven storytelling
Mystery,Investigations and hidden clues
Romance,Love-centered storylines
Documentary,Non-fiction informational content
Crime,Police detectives and criminal investigations
Adventure,Exploration and high-stakes journeys
Animation,Animated series of any genre
Family,Suitable for all ages
Reality,Unscripted real-life content
Superhero,Characters with superpowers
Historical,Set in specific historical periods
Anime,Japanese animated television
